archive,publication_title,publication_id,search_date,page,href,search_terms
newspaperarchive,Albert Lea Enterprise,us/minnesota/albert-lea/albert-lea-enterprise,1880-01-01,4,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-enterprise/1880/01-01/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=1&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Enterprise,us/minnesota/albert-lea/albert-lea-enterprise,1880-01-01,7,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-enterprise/1880/01-01/page-7?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=1&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Enterprise,us/minnesota/albert-lea/albert-lea-enterprise,1880-01-01,3,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-enterprise/1880/01-01/page-3?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=1&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Albert Lea Enterprise,us/minnesota/albert-lea/albert-lea-enterprise,1880-01-01,8,http://access.newspaperarchive.com/us/minnesota/albert-lea/albert-lea-enterprise/1880/01-01/page-8?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=1&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Galveston Daily News,us/texas/galveston/galveston-daily-news,1880-01-03,7,http://access.newspaperarchive.com/us/texas/galveston/galveston-daily-news/1880/01-03/page-7?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=3&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Bath Independent,us/maine/bath/bath-independent,1880-01-03,4,http://access.newspaperarchive.com/us/maine/bath/bath-independent/1880/01-03/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=3&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Galveston Daily News,us/texas/galveston/galveston-daily-news,1880-01-03,8,http://access.newspaperarchive.com/us/texas/galveston/galveston-daily-news/1880/01-03/page-8?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=3&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Chester Daily Times,us/pennsylvania/chester/chester-daily-times,1880-01-05,,http://access.newspaperarchive.com/us/pennsylvania/chester/chester-daily-times/1880/01-05?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=5&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Chester Daily Times,us/pennsylvania/chester/chester-daily-times,1880-01-05,5,http://access.newspaperarchive.com/us/pennsylvania/chester/chester-daily-times/1880/01-05/page-5?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=5&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Marion Daily Star,us/ohio/marion/marion-daily-star,1880-01-06,4,http://access.newspaperarchive.com/us/ohio/marion/marion-daily-star/1880/01-06/page-4?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Galveston Daily News,us/texas/galveston/galveston-daily-news,1880-01-06,,http://access.newspaperarchive.com/us/texas/galveston/galveston-daily-news/1880/01-06?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Galveston Daily News,us/texas/galveston/galveston-daily-news,1880-01-06,2,http://access.newspaperarchive.com/us/texas/galveston/galveston-daily-news/1880/01-06/page-2?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Petersburg Index Appeal,us/virginia/petersburg/petersburg-index-appeal,1880-01-06,,http://access.newspaperarchive.com/us/virginia/petersburg/petersburg-index-appeal/1880/01-06?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=6&pm=1&py=1880&pep=lynching&pr=100,lynching
newspaperarchive,Salt Lake Daily Tribune,us/utah/salt-lake-city/salt-lake-daily-tribune,1880-01-07,,http://access.newspaperarchive.com/us/utah/salt-lake-city/salt-lake-daily-tribune/1880/01-07?tag=lynching&rtserp=tags/?pci=7&ndt=ex&pd=7&pm=1&py=1880&pep=lynching&pr=100,lynching
